"wannabeyourspecial","1","8","89"
"wannabeyourspecial","2","20","163"
"wannabeyourspecial","3","34","230"
"touchofgold","1","9","94"
"touchofgold","2","22","199"
"touchofgold","3","36","276"
"amenootoganijiwoyobu","1","12","91"
"amenootoganijiwoyobu","2","26","183"
"amenootoganijiwoyobu","3","41","262"
"kimitomusic","1","10","85"
"kimitomusic","2","24","175"
"kimitomusic","3","40","326"
"landingonthemoon","1","18","148"
"landingonthemoon","2","27","210"
"landingonthemoon","3","37","297"
"aqualight","1","14","122"
"aqualight","2","33","258"
"aqualight","3","52","378"
"wanyowanyo","1","12","132"
"wanyowanyo","2","30","233"
"wanyowanyo","3","47","331"
"lotuslove","1","17","173"
"lotuslove","2","35","249"
"lotuslove","3","62","358"
"dirtymouth","1","12","137"
"dirtymouth","2","25","242"
"dirtymouth","3","50","360"
"hontonowatashi","1","11","91"
"hontonowatashi","2","24","164"
"hontonowatashi","3","48","295"
"jahacid","1","13","115"
"jahacid","2","29","192"
"jahacid","3","51","240"
"breakyourworld","1","21","172"
"breakyourworld","2","32","262"
"breakyourworld","3","59","416"
"whatiswrongwiththeworld","1","24","223"
"whatiswrongwiththeworld","2","38","316"
"whatiswrongwiththeworld","3","56","424"
"binaryoverdrive","1","15","147"
"binaryoverdrive","2","34","277"
"binaryoverdrive","3","64","458"
"breakdown","1","23","178"
"breakdown","2","35","266"
"breakdown","3","59","333"
"hi","1","13","132"
"hi","2","28","173"
"hi","3","58","286"
"otherside","1","14","143"
"otherside","2","31","206"
"otherside","3","56","318"
"freakwithme","1","20","171"
"freakwithme","2","42","332"
"freakwithme","3","56","390"
"mikakuninxxseimeitai","1","14","143"
"mikakuninxxseimeitai","2","27","223"
"mikakuninxxseimeitai","3","45","341"
"loveless","1","17","162"
"loveless","2","33","294"
"loveless","3","53","406"
"giantkilling","1","25","177"
"giantkilling","2","53","339"
"giantkilling","3","68","481"
"theepic","1","15","149"
"theepic","2","38","283"
"theepic","3","60","419"
"anomie","1","17","187"
"anomie","2","30","240"
"anomie","3","56","315"
"azitate","1","22","204"
"azitate","2","55","329"
"azitate","3","70","536"
"impact","1","21","192"
"impact","2","60","397"
"impact","3","72","540"
"saigono1page","1","14","154"
"saigono1page","2","27","240"
"saigono1page","3","53","318"
"crossangel","1","21","171"
"crossangel","2","51","310"
"crossangel","3","67","431"
"dazzlingseason","1","35","250"
"dazzlingseason","2","62","412"
"dazzlingseason","3","80","562"
"nextfrontier","1","42","352"
"nextfrontier","2","65","509"
"nextfrontier","3","82","574"
"azitateprologue","1","20","143"
"azitateprologue","2","52","275"
"azitateprologue","3","61","353"
"landingonthemooninst","1","18","140"
"landingonthemooninst","2","32","211"
"landingonthemooninst","3","55","306"
"dynamitesensation","1","25","176"
"dynamitesensation","2","53","276"
"dynamitesensation","3","68","388"
"diamondskin","1","10","73"
"diamondskin","2","17","109"
"diamondskin","3","25","187"
"everkrack","1","15","172"
"everkrack","2","27","204"
"everkrack","3","41","355"
"yuwaku","1","13","132"
"yuwaku","2","21","189"
"yuwaku","3","34","254"
"justicefromguilty","1","15","110"
"justicefromguilty","2","28","183"
"justicefromguilty","3","40","300"
"winteragain","1","14","121"
"winteragain","2","18","145"
"winteragain","3","37","264"
"eternally","1","12","85"
"eternally","2","18","125"
"eternally","3","33","193"
"aerial","1","11","63"
"aerial","2","28","149"
"aerial","3","56","389"
"whatiswrongwiththeworldcross","1","20","86"
"whatiswrongwiththeworldcross","2","41","228"
"whatiswrongwiththeworldcross","3","64","356"
"remilkyway","1","8","77"
"remilkyway","2","26","192"
"remilkyway","3","43","317"
"sundrop","1","24","126"
"sundrop","2","45","226"
"sundrop","3","73","441"
"childrenautomaton","1","24","133"
"childrenautomaton","2","41","181"
"childrenautomaton","3","57","292"
"tsukaisutedeadworld","1","19","145"
"tsukaisutedeadworld","2","44","268"
"tsukaisutedeadworld","3","74","504"
"dennoshojohautahimenoyumewomiruka","1","29","129"
"dennoshojohautahimenoyumewomiruka","2","57","328"
"dennoshojohautahimenoyumewomiruka","3","76","488"
"reseed","1","20","122"
"reseed","2","47","254"
"reseed","3","63","450"
"romancinggame","1","28","221"
"romancinggame","2","55","379"
"romancinggame","3","78","595"
"anotherchance","1","27","132"
"anotherchance","2","37","195"
"anotherchance","3","57","389"
"headphoneparty","1","23","141"
"headphoneparty","2","32","217"
"headphoneparty","3","52","372"
"zi","1","28","171"
"zi","2","45","227"
"zi","3","86","542"
"makeitfresh","1","11","74"
"makeitfresh","2","24","191"
"makeitfresh","3","48","310"
"aeug","1","44","303"
"aeug","2","69","454"
"aeug","3","90","545"
"rockman","1","27","142"
"rockman","2","48","341"
"rockman","3","73","532"
"makaimura","1","30","281"
"makaimura","2","50","429"
"makaimura","3","77","607"
"gyakutensaiban","1","6","59"
"gyakutensaiban","2","21","149"
"gyakutensaiban","3","46","298"
"sengokubasara","1","12","78"
"sengokubasara","2","37","212"
"sengokubasara","3","64","462"
"howtrueisyourlove","1","12","73"
"howtrueisyourlove","2","25","139"
"howtrueisyourlove","3","53","330"
"grandarc","1","21","159"
"grandarc","2","38","216"
"grandarc","3","79","459"
"saishukaistory","1","16","125"
"saishukaistory","2","36","259"
"saishukaistory","3","56","331"
"underworld","1","29","145"
"underworld","2","46","279"
"underworld","3","69","473"
"megitsune","1","15","70"
"megitsune","2","30","157"
"megitsune","3","49","297"
"nuera","1","22","144"
"nuera","2","43","222"
"nuera","3","75","447"
"somedayinst","1","13","107"
"somedayinst","2","43","304"
"somedayinst","3","77.7","503"
"hagitokonotheme","1","12","68"
"hagitokonotheme","2","26","141"
"hagitokonotheme","3","50","299"
"touchofgoldremix","1","17","131"
"touchofgoldremix","2","32","202"
"touchofgoldremix","3","52","313"
"daisakkaigarakutasympathy","1","27","157"
"daisakkaigarakutasympathy","2","36","260"
"daisakkaigarakutasympathy","3","66","500"
"rideonnow","1","27","197"
"rideonnow","2","39","265"
"rideonnow","3","64","476"
"hokorobishirogirls","1","29","226"
"hokorobishirogirls","2","57","375"
"hokorobishirogirls","3","71","584"
"somedayseeyouagain","1","22","108"
"somedayseeyouagain","2","37","185"
"somedayseeyouagain","3","75","401"
"aqualightremix","1","22","144"
"aqualightremix","2","43","267"
"aqualightremix","3","60","432"
"wasteland","1","4","34"
"wasteland","2","12","80"
"wasteland","3","23","151"
"whenyoucallmyname","1","6","53"
"whenyoucallmyname","2","14","150"
"whenyoucallmyname","3","30","211"
"murasame","1","28","170"
"murasame","2","41","233"
"murasame","3","76","478"
"sly","1","11","59"
"sly","2","33","230"
"sly","3","58","363"
"yukifuruyorunikissshite","1","13","121"
"yukifuruyorunikissshite","2","29","198"
"yukifuruyorunikissshite","3","51","330"
"ninjarebangbang","1","8","62"
"ninjarebangbang","2","23","221"
"ninjarebangbang","3","41","356"
"fashionmonster","1","8","74"
"fashionmonster","2","24","177"
"fashionmonster","3","39","290"
"furisodation","1","12","151"
"furisodation","2","24","244"
"furisodation","3","44","360"
"invaderinvader","1","10","91"
"invaderinvader","2","28","226"
"invaderinvader","3","47","439"
"mottainightland","1","10","92"
"mottainightland","2","26","151"
"mottainightland","3","36","185"
"wheresthesilentmajority","1","17","131"
"wheresthesilentmajority","2","34","237"
"wheresthesilentmajority","3","67","497"
"parallelspec","1","14","154"
"parallelspec","2","35","259"
"parallelspec","3","61","407"
"yell","1","8","72"
"yell","2","17","141"
"yell","3","52","236"
"sundropremix","1","30","155"
"sundropremix","2","48","254"
"sundropremix","3","79","517"
"nakamawosagashitai","1","14","99"
"nakamawosagashitai","2","32","138"
"nakamawosagashitai","3","53","227"
"ainochikyusai","1","17","98"
"ainochikyusai","2","40","201"
"ainochikyusai","3","59","343"
"dontstopthemusic","1","17","130"
"dontstopthemusic","2","32","170"
"dontstopthemusic","3","56","381"
"fever","1","28","149"
"fever","2","48","317"
"fever","3","68","405"
"gimmechoco","1","18","97"
"gimmechoco","2","39","294"
"gimmechoco","3","70","555"
"ijimedamezettai","1","17","130"
"ijimedamezettai","2","35","206"
"ijimedamezettai","3","66","389"
"intothecave","1","22","139"
"intothecave","2","44","198"
"intothecave","3","76","519"
"crossshooter","1","35","249"
"crossshooter","2","60","444"
"crossshooter","3","85","705"
"id","1","29","162"
"id","2","46","287"
"id","3","72","494"
"addicted","1","20","108"
"addicted","2","34","189"
"addicted","3","52","324"
"reanimation","1","28","152"
"reanimation","2","44","221"
"reanimation","3","70","396"
"vespero","1","19","172"
"vespero","2","40","284"
"vespero","3","61","397"
"hypersphere","1","20","156"
"hypersphere","2","38","231"
"hypersphere","3","73","467"
"summerlove","1","19","119"
"summerlove","2","39","270"
"summerlove","3","58","416"
"sunnyday","1","23","132"
"sunnyday","2","38","185"
"sunnyday","3","59","301"
"crisscrosser","1","37","269"
"crisscrosser","2","54","410"
"crisscrosser","3","86","687"
"survival","1","24","172"
"survival","2","40","308"
"survival","3","65","486"
"rebellion","1","49","329"
"rebellion","2","63","451"
"rebellion","3","91","691"
"nextfrontiertruerise","1","46","400"
"nextfrontiertruerise","2","69","574"
"nextfrontiertruerise","3","89","834"
"iine","1","21","109"
"iine","2","40","277"
"iine","3","81","545"
"headbanger","1","16","89"
"headbanger","2","43","233"
"headbanger","3","66","430"
"dazzlingseasonremix","1","35","303"
"dazzlingseasonremix","2","60","420"
"dazzlingseasonremix","3","82","644"
"amaikotoba","1","15","104"
"amaikotoba","2","37","206"
"amaikotoba","3","60","418"
"nightfeelin","1","15","103"
"nightfeelin","2","28","154"
"nightfeelin","3","46","235"
"voiceofhouse","1","18","139"
"voiceofhouse","2","34","237"
"voiceofhouse","3","58","308"
"sapphire","1","29","138"
"sapphire","2","44","252"
"sapphire","3","81","502"
"drivingstory","1","23","99"
"drivingstory","2","40","194"
"drivingstory","3","66","409"
"kakuseiawake","1","17","128"
"kakuseiawake","2","55","328"
"kakuseiawake","3","75","521"
"omniverse","1","34","250"
"omniverse","2","52","387"
"omniverse","3","83","560"
"designedworld","1","15","118"
"designedworld","2","39","251"
"designedworld","3","68","393"
"nuheat","1","29","194"
"nuheat","2","44","293"
"nuheat","3","65","443"
"yukari","1","31","239"
"yukari","2","50","338"
"yukari","3","76","545"
"hesperides","1","36","227"
"hesperides","2","61","406"
"hesperides","3","92","865"
"genjitsugenkakuspeedstar","1","17","98"
"genjitsugenkakuspeedstar","2","46","318"
"genjitsugenkakuspeedstar","3","73","522"
"overlap","1","17","111"
"overlap","2","30","190"
"overlap","3","51","281"
"garnethowl","1","26","163"
"garnethowl","2","46","309"
"garnethowl","3","70","539"
"brandnew","1","9","84"
"brandnew","2","39","190"
"brandnew","3","66","389"
"iluminaregalo","1","10","76"
"iluminaregalo","2","25","126"
"iluminaregalo","3","46","260"
"breakdown2nd","1","34","158"
"breakdown2nd","2","64","354"
"breakdown2nd","3","74","455"
"zankyonoakasha","1","18","174"
"zankyonoakasha","2","38","262"
"zankyonoakasha","3","57","440"
"deepoutside","1","18","108"
"deepoutside","2","34","155"
"deepoutside","3","63","366"
"akatsuki","1","26","168"
"akatsuki","2","58","307"
"akatsuki","3","84","619"
"thelastmissileman","1","16","135"
"thelastmissileman","2","38","249"
"thelastmissileman","3","59","384"
"frgmnts","1","33","203"
"frgmnts","2","63","363"
